# {"t_start": 1616062801.0832686, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,66.106102
-100.0,100,95.337138
-100.0,100,124.357185
-100.0,100,152.673084
-100.0,100,195.709164
-100.0,100,225.129099
-100.0,100,260.277819
-100.0,100,296.661145
-100.0,100,328.894767
-100.0,100,360.425653
-100.0,100,392.301764
-100.0,100,423.333864
-100.0,100,455.238755
-100.0,100,485.241055
-100.0,100,516.813044
-100.0,100,553.10521
-100.0,100,586.225826
-100.0,100,618.47849
-100.0,100,649.897045
-100.0,100,679.9937
-100.0,100,712.353094
-100.0,100,737.673325
-100.0,100,763.796823
-100.0,100,789.305384
-100.0,100,814.873588
-100.0,100,839.953519
-100.0,100,864.477805
-100.0,100,889.492888
-100.0,100,914.811143
-100.0,100,940.357113
-100.0,100,968.329743
-100.0,100,997.785225
-100.0,100,1026.489488
-100.0,100,1055.054112
-100.0,100,1084.185153
-100.0,100,1112.965064
-100.0,100,1141.834059
-100.0,100,1170.229773
-100.0,100,1199.845592
-100.0,100,1230.081734
-100.0,100,1259.825569
-100.0,100,1290.089082
-100.0,100,1319.210166
-100.0,100,1349.812137
-100.0,100,1380.521637
-100.0,100,1409.297811
-100.0,100,1441.081124
-100.0,100,1472.68187
-100.0,100,1502.221065
-100.0,100,1532.721318
-100.0,100,1568.688032
-100.0,100,1594.37321
-100.0,100,1619.573203
-100.0,100,1645.301068
-100.0,100,1670.885875
-100.0,100,1696.290153
-100.0,100,1722.117135
-100.0,100,1747.562141
-100.0,100,1772.143326
-100.0,100,1797.557878
-100.0,100,1824.48515
-100.0,100,1853.21723
-100.0,100,1881.837049
-100.0,100,1912.35729
-100.0,100,1942.854012
-100.0,100,1972.853877
-100.0,100,2001.825066
-100.0,100,2031.337135
-100.0,100,2058.826182
-100.0,100,2088.113336
-100.0,100,2117.625856
-100.0,100,2146.12134
-100.0,100,2175.602783
-100.0,100,2204.637975
-100.0,100,2233.670144
-100.0,100,2262.153626
-100.0,100,2291.80212
-100.0,100,2320.005124
-100.0,100,2349.53391
-100.0,100,2380.654559
-100.0,100,2411.554064
-100.0,100,2437.198971
-100.0,100,2462.637125
-100.0,100,2488.437134
-100.0,100,2513.505623
-100.0,100,2539.001191
-100.0,100,2564.581606
-100.0,100,2589.569449
-100.0,100,2615.113126
-100.0,100,2640.185138
-100.0,100,2667.240426
-100.0,100,2695.998539
-100.0,100,2724.902131
-100.0,100,2754.561475
-100.0,100,2784.701714
-100.0,100,2814.549735
-100.0,100,2843.980966
-100.0,100,2872.402383
-100.0,100,2901.441505
-100.0,100,2930.393099
-100.0,100,2958.261453
-100.0,100,2988.52499
-100.0,100,3016.113668
-100.0,100,3045.482942
-100.0,100,3075.029397
-100.0,100,3103.565098
-100.0,100,3132.893019
